Passengers;Revision;Temperature_Midday;Sunshine_Percentage;Snow_5Days;Temperature_Deviation;Temperature_Max;Temperature_Min;Temperature_Evening;Precipiation_5Days;Precipiation;Wind;Holiday;Special_Event;Year;Day_in_Month;Day;Month
2580;0;4.9;52;5;2.3;5.1;-0.8;0.9;12.1;4.6;9.9;1;1;2006;1;Sunday;January
1973;0;2.4;0;5;2.3;3.4;0.6;2.7;12.4;0.3;6.1;1;1;2006;2;Monday;January
1044;0;2.2;11;5;1.6;2.9;-1.6;1.8;12.4;0;5.3;0;0;2006;3;Tuesday;January
980;0;0.8;0;0;0.2;1.1;-1;0.6;10.3;0;6.4;0;0;2006;4;Wednesday;January
1139;0;-0.3;88;0;-1.8;0.9;-5.4;-3.2;0.3;0;4.5;0;0;2006;5;Thursday;January
1057;0;-2.7;0;0;-3.2;-1.8;-6.7;-2.9;0.3;0;5.1;0;0;2006;6;Friday;January
914;0;-2.4;0;0;-2.7;-1.8;-3.7;-3.2;0;0;4.4;0;0;2006;7;Saturday;January
1581;0;-2.8;0;0;-2.9;-1.9;-3.9;-2.7;0;0;4.4;0;0;2006;8;Sunday;January
808;0;-2.7;0;0;-2.9;-2.3;-4;-2.9;0;0;4.6;0;0;2006;9;Monday;January
792;0;-3.5;0;0;-3.3;-2.7;-4.8;-3.3;0;0;3.8;0;0;2006;10;Tuesday;January
794;0;-3.6;65;0;-4.5;-2.2;-7.6;-5.3;0;0;3.9;0;0;2006;11;Wednesday;January
735;0;-2.9;0;0;-3.7;-1.4;-6.6;-3;0;0;4.4;0;0;2006;12;Thursday;January
984;0;-2.9;35;0;-3.8;-1.9;-5.4;-3.9;0;0;4.2;0;0;2006;13;Friday;January
1157;0;-4.3;0;0;-4.5;-3.3;-5.6;-4.2;0;0;3.8;0;0;2006;14;Saturday;January
1418;0;-5.2;43;0;-5;-2.9;-7;-4.5;0;0;3.7;0;0;2006;15;Sunday;January
1077;0;-4.4;31;2;-3.8;-1.6;-6.5;-2.5;1.1;1;3.7;0;0;2006;16;Monday;January
566;0;2.3;0;2;0.8;2.7;-2;1.4;2;0.9;3.9;0;0;2006;17;Tuesday;January
706;0;4.9;0;2;3.6;5.4;1;3.8;9.3;5.5;11.5;0;0;2006;18;Wednesday;January
716;0;3.7;0;2;3.1;4.3;1.1;3.1;9.4;2;4.3;0;0;2006;19;Thursday;January
1120;0;0.9;0;2;1.5;2.6;0.4;0.9;9.4;0;6.7;0;0;2006;20;Friday;January
938;0;3.6;2;0;3.3;4.7;1.2;4.5;9.4;0.9;4.6;0;0;2006;21;Saturday;January
1615;0;3;6;0;2.4;3.9;0.7;2.5;8.5;0.2;5.7;0;0;2006;22;Sunday;January
782;0;-2.4;0;0;-1.7;0.7;-4.3;-2.5;1.2;0;7.1;0;0;2006;23;Monday;January
764;0;-4.2;0;0;-4.6;-3.1;-5.8;-4.2;1.1;0;5.3;0;0;2006;24;Tuesday;January
891;0;-1.4;20;4;-2.7;0.2;-6.3;-1.3;2.2;0;4.5;0;0;2006;25;Wednesday;January
763;0;0.2;3;4;-0.4;1.3;-2.3;-0.4;1.4;1.4;6.2;0;0;2006;26;Thursday;January
1203;0;-2.3;27;4;-2.5;-0.6;-4.2;-2.2;1.4;0;5.6;0;0;2006;27;Friday;January
1061;0;-0.1;11;4;-1.3;2.3;-4.8;0;1.4;0;6.5;0;0;2006;28;Saturday;January
1550;0;-0.2;20;4;-1.4;2;-4.2;-1.2;1.4;0;3.9;0;0;2006;29;Sunday;January
1070;0;-0.1;57;0;-2.4;1.5;-5;-1.8;0.3;0;4.9;0;0;2006;30;Monday;January
2330;0;0;30;0;-2.6;1.3;-5.8;-1.9;0;0;3.9;0;0;2006;31;Tuesday;January
863;0;-1.4;0;0;-2.1;-0.2;-4.8;-0.9;0;0;3.5;0;0;2006;1;Wednesday;February
958;0;-1.8;0;0;-2.7;-1.4;-3.7;-1.8;0;0;3.8;0;0;2006;2;Thursday;February
1022;0;-2.6;0;0;-3;-2.1;-3.4;-2.7;0;0;4.9;0;0;2006;3;Friday;February
1102;0;-3;0;0;-4.3;-3;-5.4;-4.6;0;0;6.4;0;0;2006;4;Saturday;February
1731;0;-2.6;0;0;-4;-2.2;-5.3;-2.8;0;0;5;0;0;2006;5;Sunday;February
832;0;1.7;32;0;-1.1;2.9;-2.7;0.1;0;0;4.3;0;0;2006;6;Monday;February
807;0;4.3;3;0;1.3;5.6;-0.8;3.5;0;0;7.1;0;0;2006;7;Tuesday;February
834;0;4.6;0;1;2;4.7;0.7;2.1;0.7;0;13.8;0;0;2006;8;Wednesday;February
824;0;4.8;11;2;1.1;6;-1.1;0.4;1.4;1.4;12.9;0;0;2006;9;Thursday;February
1026;0;2.6;18;3;0.2;3.8;-0.6;1.3;1.8;0;11.5;0;0;2006;10;Friday;February
1034;0;1.8;10;3;-0.9;2.1;-2.1;0.5;1.8;0.4;6.3;0;0;2006;11;Saturday;February
1971;0;-0.3;60;3;-3;0.3;-5;-1.2;1.8;0;4.9;0;0;2006;12;Sunday;February
884;0;-1;49;2;-3;1.7;-5.4;0.6;1.1;0;4.2;0;0;2006;13;Monday;February
1273;0;6.7;73;1;1;7.5;-2.4;3.1;0.4;0;4.8;0;0;2006;14;Tuesday;February
678;0;4.5;0;0;1.5;5.3;-0.8;3.2;5.8;0.5;4.1;0;0;2006;15;Wednesday;February
825;0;6.4;14;0;3.9;9.3;2.7;5.4;21.5;18.7;12.8;0;0;2006;16;Thursday;February
1032;0;5.4;9;0;3;6.5;1.3;5.4;22.4;3.1;20.8;0;0;2006;17;Friday;February
1035;0;7.7;19;0;4.1;10.9;2.4;8.5;25.5;3.2;18.4;0;0;2006;18;Saturday;February
2205;0;7;26;0;3.1;12.3;-1.8;6.7;27.8;2.1;17.3;0;0;2006;19;Sunday;February
711;0;7.1;0;0;2;7.1;0.8;4.9;24.5;2.7;5.5;0;0;2006;20;Monday;February
1010;0;7.2;85;0;1.4;9.4;-1.3;5.1;8.8;0;5.4;0;0;2006;21;Tuesday;February
902;0;3.7;0;0;0.9;4.2;-0.2;3.4;7.9;0;5;0;0;2006;22;Wednesday;February
1063;0;1.9;0;0;0.1;2.9;1.1;1.9;5.3;0.5;4.5;0;0;2006;23;Thursday;February
703;0;1.2;0;0;-1.3;1.3;-0.1;0.5;3;0;6.2;0;0;2006;24;Friday;February
1081;0;2.1;0;2;-1.2;2.6;-0.3;2;1.7;0;5.7;0;0;2006;25;Saturday;February
1250;0;0.7;0;6;-2.7;1.2;-2.2;0;4.9;4.2;6.8;0;0;2006;26;Sunday;February
876;0;-1.9;11;6;-5.1;-0.3;-5.3;-1;4.9;0.2;6.7;0;0;2006;27;Monday;February
817;0;-0.6;0;7;-4.5;1.8;-7.8;1.3;4.8;0;10.1;0;0;2006;28;Tuesday;February
625;0;-0.4;20;7;-3.7;1.5;-5.2;-1.1;5;0.6;15;0;0;2006;1;Wednesday;March
869;0;0.4;12;10;-5.7;1.8;-6.8;-0.7;7.3;1.7;10.3;0;0;2006;2;Thursday;March
1035;0;8.9;31;6;2.1;11.2;-1.8;9.3;13.6;2.4;19;0;0;2006;3;Friday;March
924;0;0.8;0;24;-0.9;11.6;-1.5;0.3;50.8;37.1;22;0;0;2006;4;Saturday;March
1189;0;-0.7;4;27;-5.6;-0.1;-5.6;-4;51.7;9.9;6.7;0;0;2006;5;Sunday;March
697;0;1.3;25;27;-4.2;2.8;-5;0.2;51.9;0.8;10.4;0;0;2006;6;Monday;March
802;0;2.6;42;22;-3.6;3.4;-5;-0.4;48.4;0;9.7;0;0;2006;7;Tuesday;March
685;0;-0.2;0;22;-3.9;2.4;-5.3;1.5;46.7;6.7;4.1;0;0;2006;8;Wednesday;March
703;0;10.5;35;4;4.9;12.4;1.9;8.7;12.1;3.4;25;0;0;2006;9;Thursday;March
925;0;8.3;23;0;1.5;10.2;1.5;4.1;11.9;0.3;17.9;0;0;2006;10;Friday;March
1041;0;5.2;11;10;-1.3;5.9;-0.4;3.7;17;3;13.8;0;0;2006;11;Saturday;March
1299;0;-3;20;12;-8.2;-0.3;-7.3;-4.9;19;5.6;9.8;0;0;2006;12;Sunday;March
902;0;-2;56;12;-7.9;-0.9;-7.8;-1.6;11.2;0;8.4;0;0;2006;13;Monday;March
1108;0;-0.9;88;12;-6.3;2.9;-5.2;0.2;8.6;0;7.2;0;0;2006;14;Tuesday;March
741;0;1.2;28;12;-5.7;3.2;-5.6;1.2;7.5;0;4.9;0;0;2006;15;Wednesday;March
972;0;1.5;0;2;-3.9;2.2;-0.8;1.6;2;0;5.1;0;0;2006;16;Thursday;March
1052;0;2.4;74;0;-3.4;5.5;-1.7;2.7;0;0;3.8;0;0;2006;17;Friday;March
1058;0;0.7;16;0;-4.9;4;-2.9;2.1;0;0;4.1;0;0;2006;18;Saturday;March
3179;0;5.6;73;0;-3;9;-3.4;5.4;0;0;5.1;0;0;2006;19;Sunday;March
1095;0;10.5;64;0;0.6;13.1;-2.1;9.5;0;0;4.6;0;0;2006;20;Monday;March
968;0;12.8;28;0;3;13.8;4.2;8.7;3.4;0.3;6.9;0;0;2006;21;Tuesday;March
864;0;10.4;15;0;3.2;12.7;5.8;10.5;20.1;3.7;8.4;0;0;2006;22;Wednesday;March
799;0;5.3;0;0;-0.1;6.8;3.5;6.3;21.1;17.1;4.8;0;0;2006;23;Thursday;March
1007;0;6.4;5;0;0.2;8.3;3.7;7.5;22.5;0.6;4.8;0;0;2006;24;Friday;March
1946;0;15.8;36;0;5.5;17;5;14.5;26.3;3.8;12.9;0;0;2006;25;Saturday;March
2650;0;15.7;53;0;6.9;19.7;8.4;16.2;22.9;0.8;5;0;0;2006;26;Sunday;March
1339;0;19.9;42;0;8.4;22.3;6.4;17.5;16.3;0.1;11.2;0;0;2006;27;Monday;March
802;0;7.8;1;0;2.1;11.8;5.8;7;29.2;23.9;15.1;0;0;2006;28;Tuesday;March
939;0;9.6;16;0;1.7;12.1;2.9;10.3;27.9;0.1;;0;0;2006;29;Wednesday;March
996;0;7.1;2;0;1.2;10.6;2;9.5;39.1;11.4;;0;0;2006;30;Thursday;March
1469;0;18.5;73;0;7.2;19;7;15.6;39.3;3.8;;0;0;2006;31;Friday;March
1730;0;15.3;30;0;4;15.5;5.1;11.5;33.5;4.3;;0;0;2006;1;Saturday;April
4039;0;14.8;46;0;4.2;16.4;5.4;11.8;22.1;0.3;;0;0;2006;2;Sunday;April
1367;0;13.6;35;0;2.9;14.5;4.3;10.6;22.1;2.3;12.2;0;0;2006;3;Monday;April
1917;0;13;91;0;2.2;14.5;2;12.5;20.4;0;6.7;0;0;2006;4;Tuesday;April
1154;0;2;0;2;-4.2;8.9;0.5;1.4;43.9;36.9;6.7;0;0;2006;5;Wednesday;April
1288;0;4.3;5;2;-3.7;6.8;0.7;4.8;39.6;0.1;6.4;0;0;2006;6;Thursday;April
1764;0;8.5;92;2;-2.4;11.1;-1.2;8.4;37.1;0;6.4;0;0;2006;7;Friday;April
3227;0;14;91;2;1.9;16.6;0.4;13.5;41.1;0;10;0;0;2006;8;Saturday;April
3067;0;6.9;0;2;-0.7;9.3;4.6;5.1;47.3;23.6;7;0;0;2006;9;Sunday;April
1238;0;4.7;0;0;-3.8;5.6;1.1;2.4;61.4;25.6;8.4;0;0;2006;10;Monday;April
1485;0;5.5;9;0;-5.1;5.8;-0.3;4.1;63.7;14.5;9.7;0;0;2006;11;Tuesday;April
1355;0;3.4;11;0;-3.9;7;-0.2;6;65.6;1.7;5.2;0;0;2006;12;Wednesday;April
1635;0;10.2;2;0;-1.6;11.2;2;6.5;62.5;1.2;9.6;0;0;2006;13;Thursday;April
8060;0;14;50;0;2;16.3;5.5;13.9;43;0;6.7;1;1;2006;14;Friday;April
5229;0;11.1;7;0;0.8;12.2;3.8;10.1;11.7;3.4;12.2;1;1;2006;15;Saturday;April
5517;0;14.1;35;0;2.8;16.9;7.1;11.5;17.9;11.6;13.8;1;1;2006;16;Sunday;April
7616;0;14.1;25;0;1.9;15.7;4.1;12.2;25.8;6.9;7.1;1;1;2006;17;Monday;April
2337;0;12.9;23;0;1.6;14.2;7.5;12.2;31.7;9.8;7.5;0;0;2006;18;Tuesday;April
4885;0;14.7;80;0;2.6;17;5.5;15.6;31.7;0;5.5;0;0;2006;19;Wednesday;April
4872;0;17.2;67;0;3.2;19.1;5.2;17.4;25.2;0;5.9;0;0;2006;20;Thursday;April
5286;0;19.4;97;0;4.8;21.6;5.4;18.8;16.7;0;6.1;0;0;2006;21;Friday;April
6332;0;19.8;47;0;4.3;21.3;7.7;12.2;12.2;4.6;14.9;0;0;2006;22;Saturday;April
6260;0;13.8;19;0;3.3;18.4;8.1;15.9;6.2;1.6;7.4;0;0;2006;23;Sunday;April
3952;0;19.9;76;0;5.4;22.2;6.3;20;6.8;0;14.1;0;0;2006;24;Monday;April
2309;0;16;0;0;4.8;18.1;11.7;17;9.1;2.9;9;0;0;2006;25;Tuesday;April
2023;0;14.5;1;0;2.5;14.8;10.5;12.3;17.6;5.8;5.4;0;0;2006;26;Wednesday;April
2600;0;14.6;3;0;2.4;16.2;10.2;12.6;26.8;10.5;8.3;0;0;2006;27;Thursday;April
1452;0;10.4;0;0;0.4;11.1;8.8;10.2;38.7;19.4;6;0;0;2006;28;Friday;April
3821;0;7.5;0;0;-3.2;8.8;2.6;5.6;39.9;1.9;7.3;0;0;2006;29;Saturday;April
9435;0;10;54;0;-3.9;12.3;0.2;10.5;37.6;0;5.8;0;0;2006;30;Sunday;April
5140;0;15.4;53;0;-0.6;16.1;2.5;14.1;29.1;0;5.8;0;0;2006;1;Monday;May
3660;0;19.4;81;0;3.9;21.4;8.6;19.7;14.6;0;5.6;0;0;2006;2;Tuesday;May
7017;0;22.3;96;0;5.5;25;7.5;22.3;1.8;0;9.6;0;0;2006;3;Wednesday;May
6032;0;23.1;93;0;6.3;25.2;8.7;22;8.1;0;6.3;0;0;2006;4;Thursday;May
3780;0;17.2;3;0;2.6;17.8;10;13.8;25;25;11.8;0;0;2006;5;Friday;May
6576;0;18.2;43;0;2.4;20.3;8.2;13.8;25.4;0.4;10.5;0;0;2006;6;Saturday;May
9996;0;18;47;0;2.5;19.3;8;16.9;25.4;0;8.2;0;0;2006;7;Sunday;May
2257;0;14.1;1;0;1;14.8;7.7;13.8;35.2;3.1;15.1;0;0;2006;8;Monday;May
2583;0;9.4;0;0;-3.5;10.1;5.9;9;29.9;9.5;9.3;0;0;2006;9;Tuesday;May
2900;0;10.2;7;0;-2.4;10.9;7.1;10.3;14.4;1.4;6.1;0;0;2006;10;Wednesday;May
4567;0;15.8;49;0;0.6;19.9;6.9;18.4;14;0;4;0;0;2006;11;Thursday;May
6277;0;19.7;59;0;3.5;23.3;7.5;19.6;17.4;0;11.4;0;0;2006;12;Friday;May
7712;0;19.1;41;0;2.3;21.6;11.4;12.2;31;24.3;11.1;0;0;2006;13;Saturday;May
12659;0;17.2;54;0;1.6;19.6;9.9;16.8;28.2;2.5;6.4;0;0;2006;14;Sunday;May
4738;0;19.7;70;0;4.1;23.6;8.3;21;27.6;0;5.5;0;0;2006;15;Monday;May
3670;0;17.1;6;0;3.6;19.5;14.4;16;38.3;11;13.5;0;0;2006;16;Tuesday;May
5519;0;21.9;35;0;5.6;23.5;14.3;22;35;0.6;5.2;0;0;2006;17;Wednesday;May
4036;0;17.5;2;0;3.3;20.7;12.9;15.6;25.2;13.6;17.9;0;0;2006;18;Thursday;May
5644;0;19.2;60;0;3;21.3;10.7;16.8;25.2;0;14;0;0;2006;19;Friday;May
7737;0;14.7;11;0;1;18.7;9.7;18.4;25.3;0.9;15.2;0;0;2006;20;Saturday;May
8631;0;15.2;28;0;0.7;19.1;9.7;16.9;15.5;0.9;16.7;0;0;2006;21;Sunday;May
5006;0;22.2;57;0;1.9;24.1;8.1;14.2;24.4;8.8;11.7;0;0;2006;22;Monday;May
3570;0;12.9;0;0;-1.8;13.9;9.3;12.2;15.1;3.7;8.7;0;0;2006;23;Tuesday;May
7348;0;14.6;30;0;-1.2;17.5;8.4;15.5;15.1;0.8;6.7;0;0;2006;24;Wednesday;May
23425;0;15.9;25;0;0;16.7;7.8;15.4;14.2;0;7.7;1;1;2006;25;Thursday;May
18215;0;21.4;51;0;4.8;24.1;12.6;20.5;13.4;0;13.1;1;1;2006;26;Friday;May
15232;0;19.5;9;0;4.4;21.5;13.5;19.8;4.4;0.1;12;0;0;2006;27;Saturday;May
14973;0;22.3;6;0;2.6;22.8;11.2;15;40.3;29.4;13.8;0;0;2006;28;Sunday;May
5810;0;13.7;1;0;-3.3;14.6;7.3;10;76.5;40.4;7.5;0;0;2006;29;Monday;May
3820;0;10.4;14;0;-7.3;11;4.8;5.9;90.6;15.8;13.3;0;0;2006;30;Tuesday;May
6890;0;6.9;1;0;-7.6;10.2;4.3;7.5;92.3;6.7;8.1;0;0;2006;31;Wednesday;May
7954;0;8.8;6;0;-6.9;11.7;4.5;8;98.1;5.8;10.9;0;0;2006;1;Thursday;June
7013;0;9.9;11;0;-6.3;13.6;5;11;58.4;0.5;6.9;0;0;2006;2;Friday;June
13930;0;15.6;62;0;-2.8;17.4;6;15.1;22.4;0;7.1;0;0;2006;3;Saturday;June
13575;0;15.3;12;0;-1.6;18;9.5;15.2;8.4;0.3;10.8;1;1;2006;4;Sunday;June
13012;0;17;24;0;-1.3;18.1;8.2;15.3;8.6;1.3;5.9;1;1;2006;5;Monday;June
5491;0;15.2;12;0;-1.6;17.8;8.8;15.3;2.8;0.7;7.2;0;0;2006;6;Tuesday;June
10706;0;17.3;94;0;-1.3;19.9;5.9;17.7;2.3;0;9.5;0;0;2006;7;Wednesday;June
16241;0;20.7;92;0;0.3;22;7.4;19.6;2.1;0;9.5;0;0;2006;8;Thursday;June
14717;0;20.4;93;0;1.2;23;8.2;20.3;2;0;6.9;0;0;2006;9;Friday;June
15097;0;23.5;90;0;2.7;25;9.6;22.6;0;0;6.3;0;0;2006;10;Saturday;June
23625;0;24.5;97;0;4;26.7;11;23.8;0;0;10;0;0;2006;11;Sunday;June
13011;0;25.7;94;0;5;27.8;12.2;25.6;0;0;6.3;0;0;2006;12;Monday;June
13914;0;26.9;94;0;6.4;29.2;13.8;26.4;0;0;6.2;0;0;2006;13;Tuesday;June
11717;0;28.4;92;0;7.2;30.1;15;27;0;0;6.2;0;0;2006;14;Wednesday;June
18619;0;28.4;89;0;7.9;30.8;15.8;27.8;0;0;5.7;0;0;2006;15;Thursday;June
12956;0;25.9;18;0;5.5;26.6;16.5;21.1;5.9;4.9;12.4;0;0;2006;16;Friday;June
16117;0;26.3;35;0;4.2;27.5;16.1;18.3;39.7;34.8;15.7;0;0;2006;17;Saturday;June
19313;0;27.6;68;0;5;29.5;14.4;20.5;39.7;0;21.1;0;0;2006;18;Sunday;June
7995;0;27.1;57;0;4.6;27.9;14.9;20.8;39.8;0.1;8.7;0;0;2006;19;Monday;June
13928;0;27.7;56;0;6.6;28.8;15.9;26.3;40.3;0.5;6.8;0;0;2006;20;Tuesday;June
9878;0;26.2;33;0;5.4;28.3;17.2;19.5;38;3.6;10.7;0;0;2006;21;Wednesday;June
9228;0;19.2;9;0;2.1;20.2;15.4;19.7;4.5;0.3;4.8;0;0;2006;22;Thursday;June
14111;0;23.2;19;0;3.3;24.6;16;22.8;4.5;0;7.5;0;0;2006;23;Friday;June
14192;0;26.8;73;0;4.5;29.4;14.7;20.7;9.3;4.9;8.4;0;0;2006;24;Saturday;June
17825;0;27.5;73;0;5.8;29.9;16.4;23;12.6;3.8;11.4;0;0;2006;25;Sunday;June
9048;0;23.3;27;0;4;25.5;16.8;22.2;10.2;0.5;9;0;0;2006;26;Monday;June
13566;0;25.2;62;0;4.7;28.2;17;21.6;14.6;3.9;17.4;0;0;2006;27;Tuesday;June
8706;0;21.7;40;0;3.7;26;16.9;23.5;17.6;3.1;14.3;0;0;2006;28;Wednesday;June
9017;0;21.6;32;0;2;23.1;15.5;21.8;18;6.7;9.8;0;0;2006;29;Thursday;June
13702;0;26;84;0;3.6;27.5;14;24.6;14.2;0;7.8;0;0;2006;30;Friday;June
16402;0;26.4;96;0;3.9;27.1;14;25.2;13;0;9;0;0;2006;1;Saturday;July
23504;0;25;93;0;4.2;27.9;15.3;26;8.3;0;7.3;0;0;2006;2;Sunday;July
13601;0;26.6;87;0;5.3;29.4;15;27.1;5.3;0;6.2;0;0;2006;3;Monday;July
14833;0;28.9;69;0;7.1;31.5;18.6;26.7;0;0;6.2;0;0;2006;4;Tuesday;July
11159;0;28.8;52;0;5.2;31.3;15.7;18.9;13.6;13.6;27.9;0;0;2006;5;Wednesday;July
8180;0;20.9;12;0;0.2;21.1;14.5;19;25.1;1.1;8.9;0;0;2006;6;Thursday;July
7573;0;18.2;0;0;0;19.9;16;18.5;27.4;12.7;4.7;0;0;2006;7;Friday;July
12110;0;21.4;39;0;2.2;25;16.5;23.3;27.4;0;4.8;0;0;2006;8;Saturday;July
21578;0;24.3;61;0;3.1;27.2;14.4;24.2;27.4;0;7.6;0;0;2006;9;Sunday;July
14318;0;26.8;94;0;5.1;28.9;17.1;27;13.8;0;6.6;0;0;2006;10;Monday;July
18940;0;29.2;90;0;6.6;31.7;17;28.6;2.3;0;5.4;0;0;2006;11;Tuesday;July
15404;0;29.9;71;0;7.1;32.2;18.8;27;0;0;10.7;0;0;2006;12;Wednesday;July
13789;0;29;53;0;4.8;30.1;18.3;23;1.2;1.2;9.3;0;0;2006;13;Thursday;July
12580;0;27.3;69;0;5.2;31;16.9;25.9;1.2;0;13.7;0;0;2006;14;Friday;July
14698;0;23.3;12;0;4.4;26.6;19.5;26.1;1.2;0;6.7;0;0;2006;15;Saturday;July
25827;0;26.5;95;0;4.2;29.2;16;26.9;1.2;0;7.9;0;0;2006;16;Sunday;July
16487;0;26.1;97;0;4.3;29.5;15.6;26.6;1.2;0;6.3;0;0;2006;17;Monday;July
20686;0;27.8;96;0;5.3;31.1;16;28;0;0;6.8;0;0;2006;18;Tuesday;July
19601;0;29.6;95;0;6.7;32.7;16.6;30.1;0;0;6.2;0;0;2006;19;Wednesday;July
16257;0;30.5;60;0;6.7;32;18.6;27.3;0;0;9.5;0;0;2006;20;Thursday;July
15085;0;32;93;0;7.8;33.5;17.7;32;0;0;7.4;0;0;2006;21;Friday;July
17201;0;29.7;51;0;5.2;31.5;19;20.5;0.3;0.2;15.4;0;0;2006;22;Saturday;July
21462;0;28.5;69;0;6.3;30.6;17.4;29.2;0.3;0.1;6.8;0;0;2006;23;Sunday;July
16531;0;29.2;95;0;7;32.5;18.2;31.1;0.3;0;6.7;0;0;2006;24;Monday;July
21920;0;31.5;87;0;7.7;33.9;18.3;29.4;0.3;0;6.8;0;0;2006;25;Tuesday;July
20070;0;26.9;27;0;6;29.8;19.7;27.5;0.3;0;10.8;0;0;2006;26;Wednesday;July
19577;0;30.1;72;0;6.2;32.9;17.3;28.7;0.9;0.9;17.8;0;0;2006;27;Thursday;July
12003;0;27.1;38;0;3;27.1;17.3;22.9;13;10.2;21.5;0;0;2006;28;Friday;July
13909;0;24.3;46;0;3.3;27.3;17.4;25;13;1.9;6;0;0;2006;29;Saturday;July
25003;0;28.1;80;0;5.1;30.3;16.6;27.7;18.6;5.5;12.2;0;0;2006;30;Sunday;July
15263;0;26.7;23;0;3.4;28.6;17.8;21.2;32.1;10.1;15.7;0;0;2006;31;Monday;July
16796;0;20.2;10;0;0.6;23.3;16.1;20.8;38;10.3;11.5;1;1;2006;1;Tuesday;August
14103;0;21.2;25;0;0.9;22.7;15.2;20.3;30.6;0;7;0;0;2006;2;Wednesday;August
6686;0;15.6;1;0;-4;17.1;12;13;41.6;14.8;13.5;0;0;2006;3;Thursday;August
9217;0;17.3;10;0;-2.8;20.1;12;15.7;54.8;15.3;8.8;0;0;2006;4;Friday;August
8824;0;14.8;0;0;-3.4;16.1;13;15;54;15.6;5.9;0;0;2006;5;Saturday;August
8578;0;14.8;8;0;-3.2;16.9;12.5;15.9;54.4;7.9;5.6;0;0;2006;6;Sunday;August
8969;0;16.7;33;0;-1.4;21.5;13.6;19.4;50.3;1.4;6.2;0;0;2006;7;Monday;August
14980;0;23.6;67;0;0.6;24.9;12.4;19.8;49.8;10.3;10;0;0;2006;8;Tuesday;August
14362;0;18.9;33;0;-0.9;21.3;13.4;18.8;31;0.2;5.9;0;0;2006;9;Wednesday;August
12465;0;16.6;2;0;-2.7;19;12.6;14.1;21.2;2.9;13;0;0;2006;10;Thursday;August
6220;0;14.8;0;0;-4.3;15.2;11.1;13;32.4;12.2;9.5;0;0;2006;11;Friday;August
9610;0;15.3;15;0;-5.1;16.5;10;14.6;39.9;12.4;8.2;0;0;2006;12;Saturday;August
8412;0;13.1;0;0;-5.6;14.1;10;12.9;34.1;6.6;10.7;0;0;2006;13;Sunday;August
7379;0;14.7;10;0;-4.6;17;9;16.1;34.2;0.1;14.3;0;0;2006;14;Monday;August
22843;0;21.2;81;0;-1.3;22.8;8.3;19.1;31.6;0;7;0;0;2006;15;Tuesday;August
9518;0;20;34;0;-0.1;22.8;13.4;19.1;16;3.1;6.1;0;0;2006;16;Wednesday;August
15162;0;23.4;63;0;2.2;25.5;13.3;22.4;9.6;0;5.6;0;0;2006;17;Thursday;August
13535;0;21.5;61;0;2.1;24.3;14.8;21.6;4.9;1.7;24.3;0;0;2006;18;Friday;August
16527;0;24.7;55;0;1.4;26.2;12.7;19.1;21.1;16.1;10.6;0;0;2006;19;Saturday;August
11534;0;18.8;23;0;-0.3;20.7;14.3;16.5;44.2;23.6;14.4;0;0;2006;20;Sunday;August
8346;0;19.8;35;0;0.3;22;12.3;18.7;41.4;0;7.9;0;0;2006;21;Monday;August
8719;0;17.6;20;0;-0.1;19.5;13.6;17.9;39.7;0;10.3;0;0;2006;22;Tuesday;August
16977;0;20.8;69;0;0.9;22.9;13.1;19.6;39.7;0;6.4;0;0;2006;23;Wednesday;August
7309;0;17;17;0;-1.5;19.6;11.7;16.4;27.5;4.1;14.5;0;0;2006;24;Thursday;August
12788;0;18.6;43;0;-1.8;19.8;9;16.9;4.1;0;6.3;0;0;2006;25;Friday;August
15425;0;19.5;56;0;-1.9;21.8;8.9;14.5;19;9.2;9.1;0;0;2006;26;Saturday;August
8051;0;15.1;0;0;-2.6;15.7;12.5;14.4;30.5;15.7;5.7;0;0;2006;27;Sunday;August
4794;0;16;0;0;-2.4;16.6;12;13.6;43.2;14.1;8.9;0;0;2006;28;Monday;August
5998;0;16;7;0;-4.4;16.3;9.3;10.8;67.5;27.1;12.1;0;0;2006;29;Tuesday;August
6545;0;14.9;28;0;-4.2;16.6;8.7;13.5;68;1.9;12.5;0;0;2006;30;Wednesday;August
10995;0;18.7;95;0;-2.8;20.3;7.1;16.1;53.1;0;5.6;0;0;2006;31;Thursday;August
16298;0;19.9;96;0;-0.6;22.9;8.2;18.4;41.6;0;5.4;0;0;2006;1;Friday;September
13459;0;22.5;29;0;1.7;23.4;11.7;19.3;28.9;0;6.4;0;0;2006;2;Saturday;September
13625;0;21.2;31;0;3.6;24.9;16;20;0.5;0;5.7;0;0;2006;3;Sunday;September
8591;0;26.5;44;0;6.4;27.7;17.9;23.4;0;0;6.9;0;0;2006;4;Monday;September
18037;0;25.7;86;0;6.3;27.1;17;23.9;0;0;5.5;0;0;2006;5;Tuesday;September
14371;0;23.4;15;0;3.8;23.5;14.8;20.9;0;0;6.5;0;0;2006;6;Wednesday;September
13922;0;25.7;86;0;5.8;27.5;14.2;23.4;1.7;1.4;10.2;0;0;2006;7;Thursday;September
7737;0;17.1;0;0;1.2;19.1;13.8;15.9;1.7;0.3;10.4;0;0;2006;8;Friday;September
16006;0;19.1;76;0;0.8;21.4;12.6;17.7;1.7;0;4.8;0;0;2006;9;Saturday;September
